calling connect
done
dist: 0.000000
dist: 0.211939
dist: 0.211939
dist: 0.206414
dist: 0.206414
dist: 0.206414
dist: 0.211939
dist: 0.211939
dist: 0.198334
dist: 0.198334
dist: 0.198334
dist: 0.217464
dist: 0.217464
dist: 0.213781
dist: 0.213781
dist: 0.213781
dist: 0.208256
dist: 0.208256
dist: 0.204573
dist: 0.204573
dist: 0.204573
dist: 0.211939
dist: 0.211939
dist: 0.217464
dist: 0.217464
dist: 0.217464
dist: 0.175775
dist: 0.175775
dist: 0.210097
dist: 0.210097
dist: 0.210097
dist: 0.217464
dist: 0.217464
dist: 0.215622
dist: 0.215622
dist: 0.215622
dist: 0.206414
dist: 0.206414
dist: 0.206414
dist: 0.206414
dist: 0.206414
dist: 0.215622
dist: 0.215622
dist: 0.156439
dist: 0.156439
dist: 0.156439
dist: 0.213781
dist: 0.213781
dist: 0.210097
dist: 0.210097
dist: 0.210097
dist: 0.210097
dist: 0.210097
dist: 0.208256
dist: 0.208256
dist: 0.208256
dist: 0.166107
dist: 0.222988
dist: 0.210097
dist: 0.208256
dist: 0.211939
dist: 0.211939
dist: 0.208256
dist: 0.215622
dist: 0.206414
dist: 0.208256
dist: 0.185443
dist: 0.202731
dist: 0.211939
dist: 0.215622
dist: 0.202731
dist: 0.213781
dist: 0.211939
dist: 0.215622
dist: 0.217464
dist: 0.198334
dist: 0.211939
dist: 0.215622
dist: 0.206414
dist: 0.202731
dist: 0.217464
dist: 0.211939
dist: 0.213781
dist: 0.211939
dist: 0.215622
dist: 0.210097
dist: 0.200890
dist: 0.221147
dist: 0.222988
dist: 0.206414
dist: 0.217464
dist: 0.202731
dist: 0.221147
dist: 0.182221
dist: 0.172553
dist: 0.208256
dist: 0.206414
dist: 0.213781
dist: 0.215622
dist: 0.215622
dist: 0.210097
dist: 0.211939
dist: 0.213781
dist: 0.210097
dist: 0.213781
dist: 0.204573
dist: 0.208256
dist: 0.191889
dist: 0.208256
dist: 0.211939
dist: 0.215622
dist: 0.202731
dist: 0.213781
dist: 0.211939
dist: 0.211939
dist: 0.198334
dist: 0.213781
dist: 0.211939
dist: 0.215622
dist: 0.169330
dist: 0.217464
dist: 0.211939
dist: 0.175775
dist: 0.213781
dist: 0.210097
dist: 0.178998
dist: 0.182221
dist: 0.211939
dist: 0.211939
dist: 0.217464
dist: 0.215622
dist: 0.206414
dist: 0.215622
dist: 0.215622
dist: 0.166107
dist: 0.172553
dist: 0.217464
dist: 0.222988
dist: 0.204573
dist: 0.215622
dist: 0.211939
dist: 0.210097
dist: 0.211939
dist: 0.213781
dist: 0.213781
dist: 0.215622
dist: 0.208256
dist: 0.191889
dist: 0.217464
dist: 0.206414
dist: 0.211939
dist: 0.178998
dist: 0.213781
dist: 0.213781
dist: 0.202731
dist: 0.185443
dist: 0.210097
dist: 0.204573
dist: 0.146116
dist: 0.213781
dist: 0.213781
dist: 0.213781
dist: 0.175775
dist: 0.215622
dist: 0.213781
dist: 0.204573
dist: 0.211939
dist: 0.215622
dist: 0.210097
dist: 0.217464
dist: 0.211939
dist: 0.208256
dist: 0.217464
dist: 0.210097
dist: 0.215622
dist: 0.215622
dist: 0.210097
dist: 0.210097
dist: 0.210097
dist: 0.215622
dist: 0.213781
dist: 0.211939
dist: 0.208256
dist: 0.215622
dist: 0.211939
dist: 0.213781
dist: 0.215622
dist: 0.204573
dist: 0.204573
dist: 0.208256
dist: 0.204573
dist: 0.221147
dist: 0.208256
dist: 0.206414
dist: 0.156439
dist: 0.204573
dist: 0.211939
dist: 0.182221
dist: 0.213781
dist: 0.215622
dist: 0.210097
dist: 0.210097
